Precision=0.9356039456541969 Recall=0.9356039456541969 MAP50=0.9644139027906281 MAP50_95=0.569412620114004
Precision=0.9754332508093696 Recall=0.9532849432346919 MAP50=0.9781187981871345 MAP50_95=0.7045102229801627
Precision=0.9747077984288178 Recall=0.9467708914945095 MAP50=0.9776151495373114 MAP50_95=0.7097058133063289
Precision=0.9852998065764024 Recall=0.948073701842546 MAP50=0.9784679794804221 MAP50_95=0.735861991781779
Precision=0.9820815859702631 Recall=0.9588684161548483 MAP50=0.9807753434433798 MAP50_95=0.7381922307683288
Precision=0.9729525250614716 Recall=0.9573794900428066 MAP50=0.9794531100163139 MAP50_95=0.7491856815616078
Precision=0.9812215477996965 Recall=0.9627768471989577 MAP50=0.9820619157274603 MAP50_95=0.7532079102891542
Precision=0.9884659746251442 Recall=0.9570072585147962 MAP50=0.9817658495247951 MAP50_95=0.7698644985248995
Precision=0.9886908184780525 Recall=0.9599851107388796 MAP50=0.9831029414100838 MAP50_95=0.7644874800520534
Precision=0.9847648067034851 Recall=0.9624046156709474 MAP50=0.9822011668055955 MAP50_95=0.7703290188649687
Precision=0.9845949030049449 Recall=0.9635213102549786 MAP50=0.9840690692191706 MAP50_95=0.7700693309465579
Precision=0.9860952380952381 Recall=0.9635213102549786 MAP50=0.982375945104992 MAP50_95=0.7740691134796511
Precision=0.9730991967121241 Recall=0.9694770147031454 MAP50=0.9836855627622688 MAP50_95=0.7696762986548575
Precision=0.9874093857306372 Recall=0.9633351944909734 MAP50=0.9827081784491175 MAP50_95=0.7721816138226216
Precision=0.991608118657299 Recall=0.9456541969104784 MAP50=0.9811407885425414 MAP50_95=0.7622877172668677
Precision=0.9824229824229824 Recall=0.967429741299088 MAP50=0.983841554256318 MAP50_95=0.7786850948886508
Precision=0.9846445497630332 Recall=0.9666852782430672 MAP50=0.9833589344123853 MAP50_95=0.7744204835660632
Precision=0.9833175355450237 Recall=0.9653824678950307 MAP50=0.9825777927731468 MAP50_95=0.7667831112800577
Precision=0.987216180118298 Recall=0.9629629629629629 MAP50=0.9821470151614906 MAP50_95=0.7739478577909964
Precision=0.9857333079703253 Recall=0.9644518890750047 MAP50=0.9823255339826971 MAP50_95=0.77536729554434
