Precision=0.5494709283298789 Recall=0.937465103294249 MAP50=0.9196139221940076 MAP50_95=0.58074951956315
Precision=0.6732416298987802 Recall=0.965568583659036 MAP50=0.9584541770740116 MAP50_95=0.6545871366697108
Precision=0.7695019832525342 Recall=0.9748743718592965 MAP50=0.9741729515136632 MAP50_95=0.7076812791205679
Precision=0.8316594930655189 Recall=0.9709659408151871 MAP50=0.9728991270784462 MAP50_95=0.7106055167054015
Precision=0.803473491773309 Recall=0.981574539363484 MAP50=0.9818118271644611 MAP50_95=0.7308524091346015
Precision=0.7723076923076924 Recall=0.9810161920714685 MAP50=0.9775254782720206 MAP50_95=0.7419118936744473
Precision=0.8533117932148627 Recall=0.9830634654755258 MAP50=0.9833914372066344 MAP50_95=0.7497694392692955
Precision=0.8666338582677166 Recall=0.983249581239531 MAP50=0.9834442020381607 MAP50_95=0.7553131240622702
Precision=0.8295543393275997 Recall=0.9873441280476456 MAP50=0.9859531856733156 MAP50_95=0.7465772717722836
Precision=0.8812883944877968 Recall=0.9879024753396612 MAP50=0.9843091461431636 MAP50_95=0.7591188525820178
Precision=0.8835274542429284 Recall=0.9882747068676717 MAP50=0.9859789169679279 MAP50_95=0.7528370327552814
Precision=0.8179447852760736 Recall=0.9925553694397915 MAP50=0.989115057844438 MAP50_95=0.7631205349719087
Precision=0.8861815754339119 Recall=0.9882747068676717 MAP50=0.9872562230678549 MAP50_95=0.7682784049966165
Precision=0.8851340103212918 Recall=0.9895775172157082 MAP50=0.9887031018505161 MAP50_95=0.7673107595613715
Precision=0.9074611575892095 Recall=0.9892052856876977 MAP50=0.9884892451421655 MAP50_95=0.7701523815490898
Precision=0.9044380207447713 Recall=0.9899497487437185 MAP50=0.9888772977591871 MAP50_95=0.7660123577836536
Precision=0.9073220686123912 Recall=0.989391401451703 MAP50=0.9889311096081443 MAP50_95=0.7795219312765009
Precision=0.9124914207275223 Recall=0.9897636329797134 MAP50=0.9884756051013449 MAP50_95=0.772151776982158
Precision=0.9116941015089163 Recall=0.9895775172157082 MAP50=0.9879934307328145 MAP50_95=0.7754606037878322
Precision=0.9144578313253012 Recall=0.9888330541596874 MAP50=0.9891009282673583 MAP50_95=0.7750395765926942
